Vintage,2004Q1,2004Q1,2004Q1,2004Q1,2004Q2,2004Q2,2004Q2,2004Q2,2004Q3,2004Q3,2004Q3,2004Q3,2004Q4,2004Q4,2004Q4,2004Q4
ForecastHorizon,2004Q2,2004Q3,2004Q4,2005Q1,2004Q3,2004Q4,2005Q1,2005Q2,2004Q4,2005Q1,2005Q2,2005Q3,2005Q1,2005Q2,2005Q3,2005Q4
Data,1,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.08,1.1,1.12,1.14,1.08,1.1,1.12,1.14
,3,3.02,3.04,3.06,3.08,3.1,3.12,3.14,3.08,3.1,3.12,3.14,3.08,3.1,3.12,3.14
,4,4.02,4.04,4.06,4.08,4.1,4.12,4.14,4.08,4.1,4.12,4.14,4.08,4.1,4.12,4.14
,5,5.02,5.04,5.06,5.08,5.1,5.12,5.14,5.08,5.1,5.12,5.14,5.08,5.1,5.12,5.14
,6,6.02,6.04,6.06,6.08,6.1,6.12,6.14,6.08,6.1,6.12,6.14,6.08,6.1,6.12,6.14
,6,6.02,6.04,6.06,6.08,6.1,6.12,6.14,6.08,6.1,6.12,6.14,6.08,6.1,6.12,6.14
,7,7.02,7.04,7.06,7.08,7.1,7.12,7.14,7.08,7.1,7.12,7.14,7.08,7.1,7.12,7.14
,8,8.02,8.04,8.06,8.08,8.1,8.12,8.14,8.08,8.1,8.12,8.14,8.08,8.1,8.12,8.14
,8,8.02,8.04,8.06,8.08,8.1,8.12,8.14,8.08,8.1,8.12,8.14,8.08,8.1,8.12,8.14
,10,10.02,10.04,10.06,10.08,10.1,10.12,10.14,10.08,10.1,10.12,10.14,10.08,10.1,10.12,10.14
