Year,Month,IR_Type,Stat_Type,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
,,,Mode,1.34,1.60,1.60,1.72,1.80,1.74,1.79,1.89,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,February,4.00,Median,1.34,1.60,1.60,1.72,1.80,1.74,1.79,1.89,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,1.34,1.60,1.60,1.72,1.80,1.74,1.79,1.89,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Uncertainty,0.22,0.31,0.38,0.43,0.45,0.48,0.52,0.55,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skew,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Market Mode,1.34,1.60,1.60,1.71,1.77,1.68,1.71,1.76,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Market,Market Median,1.34,1.60,1.60,1.71,1.77,1.68,1.71,1.76,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Market Mean,1.34,1.60,1.60,1.71,1.77,1.68,1.71,1.76,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Uncertainty,0.22,0.31,0.38,0.43,0.45,0.48,0.52,0.55,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skew,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mode,,1.46,1.36,1.39,1.44,1.63,1.77,1.85,2.10,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,4.25,Median,,1.46,1.36,1.39,1.44,1.63,1.77,1.85,2.10,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,,1.46,1.36,1.39,1.44,1.63,1.77,1.85,2.10,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Uncertainty,,0.21,0.30,0.36,0.41,0.43,0.45,0.49,0.54,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skew,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Market Mode,,1.46,1.36,1.39,1.43,1.60,1.71,1.76,1.98,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Market,Market Median,,1.46,1.36,1.39,1.43,1.60,1.71,1.76,1.98,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Market Mean,,1.46,1.36,1.39,1.43,1.60,1.71,1.76,1.98,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Uncertainty,,0.21,0.30,0.36,0.41,0.43,0.45,0.49,0.54,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skew,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Market Mode,,,1.18,1.22,1.32,1.38,1.53,1.53,1.64,1.96,2.01,2.01,2.05,2.06,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
